max_depth,max_iter,learning_rate,macro_weighted_f1,overall_accuracy,mcc,class_2_accuracy
5,100,0.01,0.7895941028343613,0.8429188944019133,0.25299217614273967,0.10719758064516129
5,100,0.05,0.8243404287937989,0.8518080734499773,0.3543649988644694,0.26514112903225806
5,100,0.1,0.8241546363843051,0.8501381310389379,0.3506632364263058,0.27338709677419354
5,100,0.2,0.821138099954201,0.8470147202331048,0.33670803574856306,0.2690120967741935
5,200,0.01,0.8128876681905988,0.8476572700908503,0.3152451350409802,0.20995967741935484
5,200,0.05,0.8233660146075105,0.8499869428371153,0.34810512073526484,0.26840725806451615
5,200,0.1,0.8217643489294435,0.8475954203719229,0.3394872489198443,0.2703225806451613
5,200,0.2,0.8233202892942721,0.8474064351196449,0.34428837491776487,0.2832862903225806
5,500,0.01,0.8256183083093208,0.8523681570158198,0.3589394778290298,0.27129032258064517
5,500,0.05,0.8211487872006692,0.8473548936872054,0.3372135036831833,0.26713709677419356
5,500,0.1,0.8214868248907949,0.8469150734637217,0.33769863917257553,0.2721975806451613
5,500,0.2,0.8211413505114605,0.8456505903212062,0.3351208870452179,0.2770161290322581
10,100,0.01,0.7964561476222913,0.8451248677103234,0.27490660495959074,0.13149193548387098
10,100,0.05,0.8277669029417509,0.8522307131959811,0.3647019697386345,0.28842741935483873
10,100,0.1,0.8252296010039658,0.8497910853938453,0.35338086016213843,0.2836290322580645
10,100,0.2,0.8245323852206106,0.8485334744423217,0.34955094437331685,0.285866935483871
10,200,0.01,0.8227991633932676,0.8504027103921272,0.3472910495672479,0.26191532258064515
10,200,0.05,0.8228950455730233,0.8482792033756202,0.34399259973825996,0.2748185483870968
10,200,0.1,0.8241295888698417,0.8486193768297209,0.34835650303595295,0.2822177419354839
10,200,0.2,0.8228688103709825,0.8469906675646329,0.34233557167655193,0.2822983870967742
10,500,0.01,0.8254575744611568,0.8508734554750745,0.3557137000895511,0.2788709677419355
10,500,0.05,0.8231215377120207,0.848303256044092,0.3447386761000798,0.27639112903225804
10,500,0.1,0.8265461035512727,0.8500419203650508,0.35785695362045583,0.2923991935483871
10,500,0.2,0.8217546323995785,0.8464340200942865,0.3380112951381557,0.2770564516129032
None,100,0.01,0.7992215997342826,0.8463343733249035,0.2855106023429153,0.14068548387096774
None,100,0.05,0.8281836954483716,0.8524093901617714,0.366211335461016,0.29058467741935484
None,100,0.1,0.8236941204558594,0.848904572755886,0.34736507632341385,0.2771774193548387
None,100,0.2,0.8248745922219343,0.8484097750044669,0.3505328764306516,0.28931451612903225
None,200,0.01,0.8229586944572354,0.8505538985939497,0.3480336039015388,0.26221774193548386
None,200,0.05,0.8260818250126329,0.8505023571615102,0.35701577439113913,0.2859072580645161
None,200,0.1,0.823555276168134,0.8483170004260758,0.3461345455032283,0.27961693548387095
None,200,0.2,0.8229131245938245,0.8473858185466691,0.3429193081855595,0.28026209677419356
None,500,0.01,0.8268705577841269,0.8516603213436508,0.3611503798200665,0.28495967741935485
None,500,0.05,0.8252848147763514,0.8494509119397446,0.35309857901815134,0.2861290322580645
None,500,0.1,0.8250173611725512,0.8491691521090754,0.35188845032979016,0.28576612903225806
None,500,0.2,0.8229286596160098,0.8473755102601811,0.3429585855909856,0.2804435483870968
