file,max_depth,n_estimators,min_samples_split,knockout_accuracy,sample_accuracy
max_depth_None_n_estimators_200_min_samples_split_20_0.2_all_results.csv,None,200,20,0.8780889621087314,0.8819336817444584
max_depth_None_n_estimators_200_min_samples_split_2_0.2_all_results.csv,None,200,2,0.8865131578947368,0.8856460623535772
max_depth_30_n_estimators_300_min_samples_split_2_0.2_all_results.csv,30,300,2,0.9033898305084745,0.8958100558659218
max_depth_None_n_estimators_300_min_samples_split_2_0.2_all_results.csv,None,300,2,0.8957654723127035,0.8879437736529104
max_depth_30_n_estimators_300_min_samples_split_20_0.2_all_results.csv,30,300,20,0.8861386138613861,0.8844296269598125
max_depth_30_n_estimators_200_min_samples_split_20_0.2_all_results.csv,30,200,20,0.8925619834710744,0.8896828257343665
max_depth_None_n_estimators_100_min_samples_split_2_0.2_all_results.csv,None,100,2,0.8886986301369864,0.8868354658497026
max_depth_30_n_estimators_100_min_samples_split_2_0.2_all_results.csv,30,100,2,0.8914858096828047,0.8876554334114255
max_depth_None_n_estimators_300_min_samples_split_20_0.2_all_results.csv,None,300,20,0.8952536824877251,0.894566588574518
max_depth_30_n_estimators_100_min_samples_split_20_0.2_all_results.csv,30,100,20,0.8877887788778878,0.8853577221120923
max_depth_None_n_estimators_100_min_samples_split_20_0.2_all_results.csv,None,100,20,0.875,0.8886736348891692
max_depth_30_n_estimators_200_min_samples_split_2_0.2_all_results.csv,30,200,2,0.8899835796387521,0.8953054604433232
