train_test_split,downsample,sample_level_accuracy,max_voting_accuracy
0.2,100,0.9415,0.9433333333333334
0.2,100,0.9439867109634551,0.9433333333333334
0.2,100,0.959202657807309,0.9566666666666667
0.2,100,0.9555813953488372,0.9566666666666667
0.2,100,0.9689766990940394,0.97
0.2,10,0.9276666666666666,0.93
0.2,10,0.9637873754152824,0.9633333333333334
0.2,10,0.9276666666666666,0.9266666666666666
0.2,10,0.9568106312292359,0.9566666666666667
0.2,10,0.9388704318936877,0.9366666666666666
0.2,1,0.9269102990033222,0.9266666666666666
0.2,1,0.9368770764119602,0.9366666666666666
0.2,1,0.9368770764119602,0.9366666666666666
0.2,1,0.9503311258278145,0.95
0.2,1,0.9501661129568106,0.95
0.8,100,0.9395840266222961,0.9391666666666667
0.8,100,0.9458260138369702,0.9466666666666667
0.8,100,0.9419546593624337,0.9416666666666667
0.8,100,0.9389158542372599,0.9391666666666667
0.8,100,0.9373355537052457,0.9375
0.8,10,0.9415535758887686,0.9408333333333333
0.8,10,0.9383065523270335,0.9383333333333334
0.8,10,0.9450503704937141,0.9458333333333333
0.8,10,0.9460066555740433,0.9458333333333333
0.8,10,0.9430590191188695,0.9442131557035803
0.8,1,0.9409317803660566,0.9408333333333333
0.8,1,0.937603993344426,0.9375
0.8,1,0.9358867610324729,0.9357798165137615
0.8,1,0.9376558603491272,0.9375520399666945
0.8,1,0.9442131557035803,0.9441201000834029
0.95,100,0.9346450568623741,0.9368863955119214
0.95,100,0.9384498959450085,0.9389901823281908
0.95,100,0.9416311057857378,0.9417952314165497
0.95,100,0.9275048523960676,0.9270687237026648
0.95,100,0.941028497754234,0.94109396914446
0.95,10,0.9402985074626866,0.94109396914446
0.95,10,0.938266414406839,0.938288920056101
0.95,10,0.9389671361502347,0.9389901823281908
0.95,10,0.9400882909396678,0.9403927068723703
0.95,10,0.9399901967649325,0.9404344779257183
0.95,1,0.9327259985984583,0.9326315789473684
0.95,1,0.9173090399439383,0.9171929824561403
0.95,1,0.9362298528381219,0.9361403508771929
0.95,1,0.9320252277505255,0.9319298245614035
0.95,1,0.9362298528381219,0.9361403508771929
0.99,100,0.8943064829571052,0.9091520861372813
0.99,100,0.9387746868128543,0.9387617765814267
0.99,100,0.9399043795767686,0.9407806191117093
0.99,100,0.9401464565976074,0.9401076716016151
0.99,100,0.9400724886190178,0.9401076716016151
0.99,10,0.8394190034294936,0.8391655450874832
0.99,10,0.9398829937462174,0.9401076716016151
0.99,10,0.9393145161290323,0.9401076716016151
0.99,10,0.9406226884540381,0.9407806191117093
0.99,10,0.9400847286665321,0.9401076716016151
0.99,1,0.8345662407531943,0.8343434343434344
0.99,1,0.9394754539340955,0.9393939393939394
0.99,1,0.8372562205783457,0.837037037037037
0.99,1,0.8338937457969066,0.8336700336700337
0.99,1,0.8338937457969066,0.8336700336700337
0.999,10,0.8979401373241784,0.9406270847231488
0.999,10,0.9145390307312846,0.9406270847231488
0.999,10,0.8339444037064195,0.8332221480987325
0.999,10,0.7166855542963803,0.7845230153435624
0.999,10,0.8314779014732351,0.8332221480987325
0.999,1,0.834,0.8337783711615487
0.999,1,0.834,0.8337783711615487
0.999,1,0.7846666666666666,0.7857142857142857
0.999,1,0.834,0.8337783711615487
0.999,1,0.82,0.8251001335113485
