,model,accuracy
0,iml1515,0.9366860465116279
0,iml1515,0.9411627906976744
0,iml1515,0.910406976744186
0,iml1515,0.9189017341040463
0,iml1515,0.9404519839656074
0,iaf1260,0.9585586425508111
0,iaf1260,0.9480234943128846
0,iaf1260,0.926813350736528
0,iaf1260,0.9354369842460615
0,iaf1260,0.9388597149287322
0,ijo1366,0.9472524381095274
0,ijo1366,0.9535821455363841
0,ijo1366,0.9401920566846914
0,ijo1366,0.9195892723180795
0,ijo1366,0.8998499624906227
0,ijr904,0.8574643660915229
0,ijr904,0.8765003750937734
0,ijr904,0.9189328582145536
0,ijr904,0.884905836285661
0,ijr904,0.8931451612903226
